feature,importance
genre_7,1.9949670361571806E-4
subgenre_28,1.6963384175359966E-4
state_1,1.654153537685404E-4
city_33,1.5443999706229894E-4
subgenre_25,1.5151586626593606E-4
city_21,1.5031859380326503E-4
city_205,1.4233596335109873E-4
state_5,1.0694294754402392E-4
city_22,1.0381600724653288E-4
subgenre_12,9.877921424134848E-5
city_273,9.776876387470416E-5
state_12,9.066952690244138E-5
city_52,8.82684982985377E-5
genre_9,8.070139805930427E-5
genre_14,6.831561908858573E-5
subgenre_9,6.503246731077694E-5
state_20,6.29349637870648E-5
state_8,5.5455180009453304E-5
city_285,5.466129245940681E-5
city_127,5.363098569589275E-5
city_227,5.279281946281853E-5
state_22,5.2016310939445305E-5
state_9,5.137764045375366E-5
genre_15,5.068386347081846E-5
state_14,4.727659656568219E-5
city_45,4.549175829622224E-5
city_19,4.3832466531566325E-5
city_32,4.3125817285303796E-5
city_89,4.196647161979984E-5
city_85,3.911922393787228E-5
city_112,3.724604797174612E-5
city_46,3.67238545108815E-5
city_86,3.5575840718096164E-5
state_3,3.504352715546034E-5
city_152,3.4447326197582066E-5
genre_10,3.4291376620925995E-5
city_145,3.207988123553143E-5
subgenre_8,3.103705596928495E-5
city_95,2.9474365539897524E-5
city_137,2.8708321659442348E-5
city_0,2.8623841152432426E-5
city_200,2.7875993659155808E-5
city_254,2.7777038324484704E-5
state_32,2.7522061572546658E-5
city_217,2.658860164668743E-5
city_100,2.6155747077322144E-5
city_20,2.5961299691044795E-5
state_18,2.4948618119085724E-5
subgenre_16,2.4404029062642384E-5
city_160,2.4246233216660825E-5
state_23,2.4175290909613315E-5
city_28,2.350932831265134E-5
city_73,2.2888997057479414E-5
city_173,2.2878245850665042E-5
state_21,2.2552069025812335E-5
city_44,2.1255013228080634E-5
subgenre_7,1.941908836004718E-5
subgenre_5,1.9086971439895698E-5
city_17,1.735505737855977E-5
city_131,1.7205056387094896E-5
city_119,1.699579807218754E-5
city_68,1.6852504396853932E-5
city_24,1.6581350338939123E-5
city_182,1.586787994455357E-5
subgenre_17,1.5023188700990063E-5
city_276,1.483429634863816E-5
subgenre_30,1.4569686438182882E-5
city_218,1.4366221636149806E-5
subgenre_13,1.4119168051740855E-5
city_92,1.3608128886740464E-5
city_25,1.3172059278388669E-5
city_14,1.1944727102448005E-5
city_142,1.13052421081567E-5
state_10,1.1193750695261348E-5
state_41,1.1164907320037155E-5
city_10,1.114442840100434E-5
city_15,1.0594855883513453E-5
city_172,1.0499287687242842E-5
city_31,1.0470997401391933E-5
city_149,1.0337501053953407E-5
city_216,1.0243995448422056E-5
city_71,1.0221751022557468E-5
city_133,9.281256902256844E-6
city_187,9.21271183084525E-6
city_65,9.022334868863962E-6
city_1,8.89277622950593E-6
subgenre_46,8.696641589518863E-6
city_30,7.966267712326875E-6
city_88,7.900959491818472E-6
city_29,7.708875812096938E-6
city_236,7.677118919964946E-6
state_37,7.2559555413011796E-6
state_29,7.160198832349547E-6
city_50,6.02072375367741E-6
city_105,5.998141171769755E-6
state_13,5.930269941633001E-6
city_123,5.657957222903597E-6
state_31,5.3628800643410295E-6
city_286,5.3494096011500955E-6
genre_8,5.136312899907589E-6
city_109,4.85000130469234E-6
city_23,4.839501189788563E-6
city_7,4.552314091222596E-6
city_62,4.5306054048892025E-6
state_27,4.506071373669821E-6
city_47,4.166485776625773E-6
city_108,3.95216044063505E-6
city_43,3.762283972495432E-6
subgenre_40,3.5739507288185815E-6
city_56,3.1071079694626937E-6
subgenre_47,3.056233291925665E-6
city_296,2.9407873426615483E-6
city_166,2.85309302791916E-6
city_40,2.825392752883513E-6
city_55,2.7669813392096725E-6
city_144,2.735805277320314E-6
state_15,2.717971343076528E-6
state_34,2.522078783715696E-6
city_16,2.4563539991969402E-6
city_151,2.442835553872425E-6
city_97,2.3943403370237175E-6
city_189,2.348911385017956E-6
city_11,2.171182659119406E-6
subgenre_26,2.1506850961752674E-6
city_96,1.9137855667317146E-6
city_34,1.8434043462247613E-6
city_128,1.814207651300244E-6
state_26,1.7284503575838792E-6
subgenre_19,1.7277346888203074E-6
city_124,1.6904887876073339E-6
state_17,1.6525037828469792E-6
city_58,1.6021048472238759E-6
subgenre_48,1.5801864413887872E-6
city_77,1.484112271331747E-6
genre_17,1.4754445601239702E-6
city_84,1.4456660574816312E-6
city_102,1.4293481906109108E-6
city_80,1.4087438923800655E-6
city_41,1.3450426299979179E-6
subgenre_49,1.2994386788147584E-6
city_126,1.2142272399101725E-6
city_60,1.1655713826646528E-6
city_155,1.1386659517736634E-6
city_117,1.0831861575049171E-6
city_90,9.887760431620963E-7
city_103,9.74522788522221E-7
genre_21,9.541206205817962E-7
city_3,8.084551000657009E-7
city_66,7.760807793129536E-7
city_165,7.734558944133463E-7
city_163,7.679639107908791E-7
city_250,6.802082996377009E-7
city_222,6.273819962976616E-7
city_72,6.225445695692963E-7
city_146,6.074206509725079E-7
genre_16,6.057746776527817E-7
city_196,4.95918371306818E-7
city_147,4.874925313902656E-7
city_75,4.676934605782954E-7
city_270,4.5176068717470586E-7
city_215,4.050621955097681E-7
city_94,3.8401395148811496E-7
